task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
243	91/edcdfa	3512189	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836349)	COMPLETED	0	2023-09-17 22:17:16.786	38.6s	30s	104.9%	810 MB	3.8 GB	46 MB	6.8 MB
244	f0/a379e6	3513579	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836375)	COMPLETED	0	2023-09-17 22:17:49.838	36.1s	28s	104.6%	781.9 MB	3.8 GB	44.2 MB	5.5 MB
242	c4/082562	3514067	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836344)	COMPLETED	0	2023-09-17 22:17:55.430	37.6s	31s	105.4%	807.8 MB	3.8 GB	44.8 MB	7.1 MB
246	96/2b7254	3516019	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4843941)	COMPLETED	0	2023-09-17 22:18:25.995	35s	29s	104.7%	805.4 MB	3.8 GB	46.2 MB	6.7 MB
247	3b/f92e5c	3518349	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836308)	COMPLETED	0	2023-09-17 22:19:01.031	36.1s	30s	106.4%	798.9 MB	3.8 GB	43.9 MB	6.6 MB
245	12/d5bb1e	3516919	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836485)	COMPLETED	0	2023-09-17 22:18:33.069	1m 11s	1m 5s	102.3%	1 GB	4.1 GB	72.6 MB	24.2 MB
250	c7/391035	3520653	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836355)	COMPLETED	0	2023-09-17 22:19:44.586	35.7s	30s	104.7%	799.7 MB	3.8 GB	43.8 MB	6.5 MB
248	a4/654c90	3519782	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836496)	COMPLETED	0	2023-09-17 22:19:37.159	56s	49s	102.4%	1 GB	4 GB	56.9 MB	15.7 MB
249	a6/1f6705	3522192	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836379)	COMPLETED	0	2023-09-17 22:20:20.303	31.6s	25s	105.7%	749.8 MB	3.8 GB	42.5 MB	4.4 MB
252	ac/479abc	3523313	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836369)	COMPLETED	0	2023-09-17 22:20:33.183	32.9s	26s	104.7%	772.2 MB	3.8 GB	43.7 MB	5.1 MB
254	08/994069	3524470	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836391)	COMPLETED	0	2023-09-17 22:20:51.923	23.5s	16s	111.2%	645.5 MB	3.8 GB	35.8 MB	3.4 KB
256	1f/9a7432	3526602	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836311)	COMPLETED	0	2023-09-17 22:21:15.503	30.6s	25s	104.5%	737.3 MB	3.8 GB	41.5 MB	3.9 MB
255	e3/f53275	3525606	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836450)	COMPLETED	0	2023-09-17 22:21:06.064	46.5s	40s	103.0%	962.9 MB	4 GB	56.1 MB	12 MB
253	21/7ea7e0	3528084	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836460)	COMPLETED	0	2023-09-17 22:21:46.172	30.8s	25s	105.2%	739.8 MB	3.8 GB	42.3 MB	3.6 MB
257	2a/a168fa	3528995	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836462)	COMPLETED	0	2023-09-17 22:21:52.631	33.6s	27s	105.5%	775 MB	3.8 GB	44.5 MB	4.8 MB
258	da/48ec29	3530500	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836483)	COMPLETED	0	2023-09-17 22:22:16.973	27.2s	21s	106.9%	689.6 MB	3.8 GB	38.4 MB	1.9 MB
261	c8/61a2c8	3531475	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836497)	COMPLETED	0	2023-09-17 22:22:26.284	54.9s	49s	103.2%	1 GB	4 GB	56.5 MB	15.6 MB
262	c3/0a84e3	3534231	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836441)	COMPLETED	0	2023-09-17 22:23:21.238	34s	28s	106.1%	793.1 MB	3.8 GB	45.3 MB	6 MB
270	6a/bb2859	3532731	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836617)	COMPLETED	0	2023-09-17 22:22:44.177	1m 16s	1m 9s	102.5%	1.1 GB	4.1 GB	67.9 MB	23.7 MB
266	f1/ae89b0	3536421	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836371)	COMPLETED	0	2023-09-17 22:23:59.831	34.6s	27s	105.4%	767 MB	3.8 GB	43.4 MB	4.9 MB
260	3c/0caf92	3535675	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836392)	COMPLETED	0	2023-09-17 22:23:55.303	39.3s	30s	105.7%	817.3 MB	3.8 GB	47.3 MB	6.9 MB
271	a0/0ac391	3538118	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836445)	COMPLETED	0	2023-09-17 22:24:34.644	31.7s	26s	105.0%	736.8 MB	3.8 GB	42.1 MB	3.6 MB
267	79/cc06c1	3538076	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836480)	COMPLETED	0	2023-09-17 22:24:34.496	1m 33s	1m 25s	101.2%	1.1 GB	4.1 GB	79.1 MB	32.6 MB
273	3e/365ee5	3540299	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836411)	COMPLETED	0	2023-09-17 22:25:06.415	1m 6s	1m 1s	102.1%	1 GB	4.1 GB	68.5 MB	21 MB
265	ea/d3c555	3542880	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836415)	COMPLETED	0	2023-09-17 22:26:12.548	33.6s	28s	104.9%	783.1 MB	3.8 GB	44.5 MB	5.4 MB
277	85/1d6ee8	3544466	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836380)	COMPLETED	0	2023-09-17 22:26:46.162	28.6s	23s	105.9%	726.7 MB	3.8 GB	40.9 MB	3.2 MB
263	8c/3f9a2d	3542077	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836492)	COMPLETED	0	2023-09-17 22:26:07.048	1m 30s	1m 24s	101.3%	1.1 GB	4.1 GB	80.3 MB	32.9 MB
269	19/63dc9f	3545842	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836469)	COMPLETED	0	2023-09-17 22:27:14.769	34.9s	28s	104.2%	804.6 MB	3.8 GB	46.7 MB	6.2 MB
268	cd/bdcd3c	3547140	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836364)	COMPLETED	0	2023-09-17 22:27:37.460	35s	29s	103.8%	804.8 MB	3.8 GB	46.3 MB	6.7 MB
279	d2/46e8d2	3548174	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836408)	COMPLETED	0	2023-09-17 22:27:49.725	1m 10s	1m 4s	102.5%	1 GB	4.1 GB	70 MB	23.3 MB
272	3d/0c24c8	3549421	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836482)	COMPLETED	0	2023-09-17 22:28:12.507	1m 22s	1m 16s	101.4%	1.1 GB	4.1 GB	74.8 MB	28.3 MB
274	78/8ee054	3551043	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836477)	COMPLETED	0	2023-09-17 22:28:59.323	1m 3s	57s	103.2%	1 GB	4 GB	59.6 MB	17.9 MB
278	a5/ebdbce	3552505	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836432)	COMPLETED	0	2023-09-17 22:29:34.646	35.4s	30s	104.6%	819.3 MB	3.9 GB	47.7 MB	6.6 MB
280	45/64ec44	3553801	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836476)	COMPLETED	0	2023-09-17 22:30:02.515	53.2s	47s	103.9%	1014.9 MB	4 GB	55.1 MB	14.6 MB
275	75/b72bc8	3554653	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836498)	COMPLETED	0	2023-09-17 22:30:10.034	57.8s	51s	104.1%	1 GB	4.1 GB	58 MB	16.6 MB
282	f5/61da23	3557435	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836420)	COMPLETED	0	2023-09-17 22:31:07.844	30.5s	24s	105.6%	750.5 MB	3.8 GB	43 MB	4.1 MB
281	2d/93202c	3556390	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836418)	COMPLETED	0	2023-09-17 22:30:55.709	1m 2s	56s	102.6%	1 GB	4.1 GB	71.9 MB	18.1 MB
298	d7/1655e4	3558816	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836390)	COMPLETED	0	2023-09-17 22:31:38.322	24.1s	18s	108.5%	652.4 MB	3.8 GB	36.7 MB	637.8 KB
284	7e/83db04	3560886	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836381)	COMPLETED	0	2023-09-17 22:32:02.453	34.6s	29s	107.5%	802.7 MB	3.8 GB	45.4 MB	6.3 MB
276	00/9fed15	3560020	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836503)	COMPLETED	0	2023-09-17 22:31:57.701	1m 8s	1m 3s	103.3%	1 GB	4.1 GB	63.2 MB	20.9 MB
302	9e/bd0a31	3562562	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836461)	COMPLETED	0	2023-09-17 22:32:37.034	34.6s	26s	107.0%	771.4 MB	3.8 GB	44.3 MB	4.8 MB
283	a2/2d21d2	3563921	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836442)	COMPLETED	0	2023-09-17 22:33:06.079	41.1s	32s	105.9%	829.1 MB	3.8 GB	49.6 MB	8.1 MB
285	e7/61aab7	3566468	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836338)	COMPLETED	0	2023-09-17 22:33:47.180	35.5s	29s	104.5%	783.4 MB	3.8 GB	43.6 MB	6 MB
286	a6/25ece4	3564450	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836475)	COMPLETED	0	2023-09-17 22:33:11.682	1m 28s	1m 21s	101.4%	1.1 GB	4.1 GB	76.9 MB	30.4 MB
288	12/2468b5	3567854	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836354)	COMPLETED	0	2023-09-17 22:34:22.660	23.4s	16s	112.9%	646.1 MB	3.8 GB	36.1 MB	238.3 KB
290	68/0dee10	3569039	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836623)	COMPLETED	0	2023-09-17 22:34:39.542	36.8s	31s	106.5%	838.6 MB	3.9 GB	50 MB	7.3 MB
291	47/6b9c09	3569973	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836398)	COMPLETED	0	2023-09-17 22:34:46.063	49.5s	43s	103.1%	957.4 MB	4 GB	52.7 MB	13 MB
289	01/f25cd5	3571554	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836342)	COMPLETED	0	2023-09-17 22:35:16.393	24.9s	16s	109.2%	645.6 MB	3.8 GB	35.8 MB	6.9 KB
292	3d/84234d	3572815	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836394)	COMPLETED	0	2023-09-17 22:35:35.612	1m 21s	1m 10s	102.3%	1.1 GB	4.1 GB	73.5 MB	26.5 MB
293	2a/3d1599	3573375	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836502)	COMPLETED	0	2023-09-17 22:35:41.294	1m 16s	1m 8s	102.8%	1.1 GB	4.1 GB	67 MB	23.7 MB
287	6c/c0c0d4	3575859	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836314)	COMPLETED	0	2023-09-17 22:36:56.604	37s	29s	107.2%	807.4 MB	3.8 GB	46.4 MB	6.6 MB
294	2d/f73259	3575902	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836474)	COMPLETED	0	2023-09-17 22:36:57.130	1m 2s	53s	103.6%	1 GB	4.1 GB	57.1 MB	16.1 MB
295	a4/760844	3578216	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836404)	COMPLETED	0	2023-09-17 22:37:33.665	36.9s	29s	105.7%	803.3 MB	3.8 GB	44.4 MB	6.7 MB
316	be/05705a	3579550	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836350)	COMPLETED	0	2023-09-17 22:37:58.954	38.4s	32s	103.7%	831.9 MB	3.9 GB	47.2 MB	8.1 MB
296	48/70c416	3580561	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (ERR4836443)	COMPLETED	0	2023-09-17 22:38:10.613	31.6s	25s	105.6%	750.8 MB	3.8 GB	43.3 MB	4 MB
